[2026-08-24 11:16:47] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:16:47] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:16:50] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:16:50] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:16:53] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:16:53] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:16:56] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:16:56] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:16:59] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:16:59] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:17:02] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:17:02] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:17:05] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:17:05] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:17:08] INFO: GET /api/matches/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
[2026-08-24 11:17:08] INFO: GET /api/match-events/25c14543-0c13-4845-afd0-ac94a05b7bcf - Origin: Unknown
